CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
IAFIA,Lougheed,Undetermined,,Village,Populated Place,VILG,6975e052d05511d892e2080020a0f4c9,52.7444444,-111.5427778,33-43-11-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAUBS,Louis Bull 138B,Undetermined,,Indian Reserve,Administrative Area,IR,01594f54bbe311d892e2080020a0f4c9,52.8919444,-113.5638889,21-45-25-W4,Alberta,50000,1990-12-13,Indigenous and Northern Affairs Canada
IASQL,Louis Lake,Undetermined,,Lake,Water Feature,LAKE,dc40cecfd05211d892e2080020a0f4c9,53.7177778,-110.8091667,3-55-6-W4,Alberta,1000000,1991-09-04,Alberta Culture and Tourism
IAFIM,Louis Lake,Undetermined,,Lake,Water Feature,LAKE,0c84a463849c20c30184a526a121b613,53.1755556,-113.0869444,48-22-W4,Alberta,250000,1951-05-02,Alberta Culture and Tourism
IAFIL,Louis Lake,Undetermined,,Lake,Water Feature,LAKE,0c84a39e849c20c38cb8c83955da17bd,52.4122222,-115.1266667,5-40-8-W5,Alberta,250000,1957-04-02,Alberta Culture and Tourism
IAFIE,Louise Creek,Undetermined,,Creek,Water Feature,RIV,0c84a2d6849c20c37eb090ebebdfd85f,51.4236111,-116.1788889,28-16-W5,Alberta,50000,1952-04-03,Alberta Culture and Tourism
IAFIF,Louise Creek,Undetermined,,Creek,Water Feature,RIV,0c84a291849c20c36bf51890134ff8d6,54.5875000,-115.5691667,64-11-W5,Alberta,250000,1945-12-08,Alberta Culture and Tourism
IAFIJ,Louise River,Undetermined,,River,Water Feature,RIV,0c84a357849c20c302b24c6bedc84528,57.6980555,-112.8850000,100-20-W4,Alberta,250000,1944-10-12,Alberta Culture and Tourism
IAFIK,Louisiana Lakes,Undetermined,,Lakes,Water Feature,LAKE,0c84a3e0849c20c3df5c437fbdb94382,50.5369445,-111.6016667,18-12-W4,Alberta,250000,1959-12-10,Alberta Culture and Tourism
IAFIO,Lousana,Undetermined,,Hamlet,Populated Place,UNP,0c84a591849c20c394218529c26123fb,52.1127778,-113.1900000,23-36-23-W4,Alberta,250000,1937-06-01,Alberta Culture and Tourism
IAFIP,Loutit Lake,Undetermined,,Lake,Water Feature,LAKE,0c84a4eb849c20c37d5cb83dd7b7727f,58.9780556,-110.8569444,"115-5,6-W4",Alberta,250000,1954-06-03,Alberta Culture and Tourism
IAAUM,Lovet Creek,Undetermined,,Creek,Water Feature,RIV,0c82a74d849c20c370ba7f99c76ed7ec,56.9047222,-118.2569444,21-91-2-W6,Alberta,250000,1944-10-27,Alberta Culture and Tourism
IAFIS,Lovett River,Undetermined,,River,Water Feature,RIV,0c84a611849c20c390542f92220b2ae3,52.9861111,-116.6394444,46-19-W5,Alberta,250000,1939-12-12,Alberta Culture and Tourism
IAFIT,Lovettville,Undetermined,,Former Locality,Populated Place,UNP,be561fa5c6cd11d892e2080020a0f4c9,53.0333330,-116.6833300,3-47-19-W5,Alberta,50000,1988-12-31,Alberta Culture and Tourism
IAFJH,Low Water Lake,Undetermined,,Lake,Water Feature,LAKE,0c84aa65849c20c37840ffe348789901,53.8038889,-113.9619444,"55,56-27-W4",Alberta,250000,1950-05-02,Alberta Culture and Tourism
